Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"470uF","","~"
C2 ,1,"10uF","","~"
C3 ,1,"100nF","","~"
LS1 ,1,"Visaton K50 8ohm","","~"
MK1 ,1,"Electret Microphone","","~"
Q1 ,1,"BC337","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
Q2 ,1,"TIP120","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/TI/TIP120.pdf"
Q3 ,1,"AO3400","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
Q4 ,1,"IRLZ44N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
R1 R2 ,2,"10K","","~"
R3 ,1,"R_Small","","~"
R4 ,1,"1K","","~"
R5 ,1,"47K","","~"
R6 ,1,"200r","","~"
R7 ,1,"R_PHOTO","","~"
R8 ,1,"R","","~"
R9 ,1,"470R","","~"
RV1 ,1,"10k","","~"
SC1 ,1,"Solar_Cell","","~"
U1 ,1,"ATtiny85V-10PU","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf"
U2 ,1,"LMV358","","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
